,Country,Year,Density,
30,Eastern Asia,2021,Population density,141.1
30,Eastern Asia,2021,Surface area (thousand km2),"11,560"
30,Eastern Asia,2022,Population mid-year estimates (millions),"1,663.20"
30,Eastern Asia,2022,Population mid-year estimates for males (millions),843.94
30,Eastern Asia,2022,Population mid-year estimates for females (millions),819.26
30,Eastern Asia,2022,Sex ratio (males per 100 females),103
30,Eastern Asia,2022,Population aged 0 to 14 years old (percentage),16.6
30,Eastern Asia,2022,Population aged 60+ years old (percentage),20.1
30,Eastern Asia,2022,Population density,141.1
62,South-central Asia,2010,Population mid-year estimates (millions),"1,799.54"
62,South-central Asia,2010,Population mid-year estimates for males (millions),923.5
62,South-central Asia,2010,Population mid-year estimates for females (millions),876.04
62,South-central Asia,2010,Sex ratio (males per 100 females),105.4
62,South-central Asia,2010,Population aged 0 to 14 years old (percentage),31.9
62,South-central Asia,2010,Population aged 60+ years old (percentage),7.4
62,South-central Asia,2010,Population density,174.2
62,South-central Asia,2015,Population mid-year estimates (millions),"1,926.33"
62,South-central Asia,2015,Population mid-year estimates for males (millions),986.76
62,South-central Asia,2015,Population mid-year estimates for females (millions),939.57
62,South-central Asia,2015,Sex ratio (males per 100 females),105
62,South-central Asia,2015,Population aged 0 to 14 years old (percentage),30
62,South-central Asia,2015,Population aged 60+ years old (percentage),8.4
62,South-central Asia,2015,Population density,186.5
62,South-central Asia,2021,Population mid-year estimates (millions),"2,065.35"
62,South-central Asia,2021,Population mid-year estimates for males (millions),"1,055.11"
62,South-central Asia,2021,Population mid-year estimates for females (millions),"1,010.24"
62,South-central Asia,2021,Sex ratio (males per 100 females),104.4
62,South-central Asia,2021,Population aged 0 to 14 years old (percentage),27.5
62,South-central Asia,2021,Population aged 60+ years old (percentage),9.7
62,South-central Asia,2021,Population density,199.9
62,South-central Asia,2021,Surface area (thousand km2),"10,327"
62,South-central Asia,2022,Population mid-year estimates (millions),"2,084.59"
62,South-central Asia,2022,Population mid-year estimates for males (millions),"1,064.47"
62,South-central Asia,2022,Population mid-year estimates for females (millions),"1,020.12"
62,South-central Asia,2022,Sex ratio (males per 100 females),104.3
62,South-central Asia,2022,Population aged 0 to 14 years old (percentage),27.2
62,South-central Asia,2022,Population aged 60+ years old (percentage),9.9
62,South-central Asia,2022,Population density,201.8
35,South-eastern Asia,2010,Population mid-year estimates (millions),599.78
35,South-eastern Asia,2010,Population mid-year estimates for males (millions),300.46
35,South-eastern Asia,2010,Population mid-year estimates for females (millions),299.32
35,South-eastern Asia,2010,Sex ratio (males per 100 females),100.4
35,South-eastern Asia,2010,Population aged 0 to 14 years old (percentage),27.5
35,South-eastern Asia,2010,Population aged 60+ years old (percentage),8.8
35,South-eastern Asia,2010,Population density,134.8
35,South-eastern Asia,2015,Population mid-year estimates (millions),636.64
35,South-eastern Asia,2015,Population mid-year estimates for males (millions),319.01
35,South-eastern Asia,2015,Population mid-year estimates for females (millions),317.63
35,South-eastern Asia,2015,Sex ratio (males per 100 females),100.4
35,South-eastern Asia,2015,Population aged 0 to 14 years old (percentage),26.2
35,South-eastern Asia,2015,Population aged 60+ years old (percentage),9.9
35,South-eastern Asia,2015,Population density,143.1
35,South-eastern Asia,2021,Population mid-year estimates (millions),675.8
35,South-eastern Asia,2021,Population mid-year estimates for males (millions),338.52
35,South-eastern Asia,2021,Population mid-year estimates for females (millions),337.28
35,South-eastern Asia,2021,Sex ratio (males per 100 females),100.4
35,South-eastern Asia,2021,Population aged 0 to 14 years old (percentage),24.8
35,South-eastern Asia,2021,Population aged 60+ years old (percentage),11.8
35,South-eastern Asia,2021,Population density,151.9
35,South-eastern Asia,2021,Surface area (thousand km2),"4,341"
35,South-eastern Asia,2022,Population mid-year estimates (millions),681.13
35,South-eastern Asia,2022,Population mid-year estimates for males (millions),341.13
35,South-eastern Asia,2022,Population mid-year estimates for females (millions),340
35,South-eastern Asia,2022,Sex ratio (males per 100 females),100.3
35,South-eastern Asia,2022,Population aged 0 to 14 years old (percentage),24.5
35,South-eastern Asia,2022,Population aged 60+ years old (percentage),12.1
35,South-eastern Asia,2022,Population density,153.1
34,Southern Asia,2010,Population mid-year estimates (millions),"1,735.92"
34,Southern Asia,2010,Population mid-year estimates for males (millions),892.2
34,Southern Asia,2010,Population mid-year estimates for females (millions),843.72
34,Southern Asia,2010,Sex ratio (males per 100 females),105.7
34,Southern Asia,2010,Population aged 0 to 14 years old (percentage),32
34,Southern Asia,2010,Population aged 60+ years old (percentage),7.4
34,Southern Asia,2010,Population density,271.2
34,Southern Asia,2015,Population mid-year estimates (millions),"1,857.34"
34,Southern Asia,2015,Population mid-year estimates for males (millions),952.72
34,Southern Asia,2015,Population mid-year estimates for females (millions),904.62
34,Southern Asia,2015,Sex ratio (males per 100 females),105.3
34,Southern Asia,2015,Population aged 0 to 14 years old (percentage),30
34,Southern Asia,2015,Population aged 60+ years old (percentage),8.4
34,Southern Asia,2015,Population density,290.2
34,Southern Asia,2022,Population mid-year estimates (millions),"2,007.55"
34,Southern Asia,2022,Population mid-year estimates for males (millions),"1,026.36"
34,Southern Asia,2022,Population mid-year estimates for females (millions),981.19
34,Southern Asia,2022,Sex ratio (males per 100 females),104.6
34,Southern Asia,2022,Population aged 0 to 14 years old (percentage),27
34,Southern Asia,2022,Population aged 60+ years old (percentage),9.9
34,Southern Asia,2022,Population density,313.6
145,Western Asia,2010,Population mid-year estimates (millions),238.59
145,Western Asia,2010,Population mid-year estimates for males (millions),124.5
145,Western Asia,2010,Population mid-year estimates for females (millions),114.08
145,Western Asia,2010,Sex ratio (males per 100 females),109.1
145,Western Asia,2010,Population aged 0 to 14 years old (percentage),31.2
145,Western Asia,2010,Population aged 60+ years old (percentage),6.7
145,Western Asia,2010,Population density,49.8
145,Western Asia,2015,Population mid-year estimates (millions),264.76
145,Western Asia,2015,Population mid-year estimates for males (millions),138.62
145,Western Asia,2015,Population mid-year estimates for females (millions),126.13
145,Western Asia,2015,Sex ratio (males per 100 females),109.9
145,Western Asia,2015,Population aged 0 to 14 years old (percentage),30.3
145,Western Asia,2015,Population aged 60+ years old (percentage),7.4
145,Western Asia,2015,Population density,55.2
145,Western Asia,2021,Population mid-year estimates (millions),289.73
145,Western Asia,2021,Population mid-year estimates for males (millions),151.36
145,Western Asia,2021,Population mid-year estimates for females (millions),138.38
145,Western Asia,2021,Sex ratio (males per 100 females),109.4
145,Western Asia,2021,Population aged 0 to 14 years old (percentage),29
145,Western Asia,2021,Population aged 60+ years old (percentage),8.4
145,Western Asia,2021,Population density,60.5
145,Western Asia,2021,Surface area (thousand km2),"4,805"
145,Western Asia,2022,Population mid-year estimates (millions),293.72
145,Western Asia,2022,Population mid-year estimates for males (millions),153.31
145,Western Asia,2022,Population mid-year estimates for females (millions),140.41
145,Western Asia,2022,Sex ratio (males per 100 females),109.2
145,Western Asia,2022,Population aged 0 to 14 years old (percentage),28.7
145,Western Asia,2022,Population aged 60+ years old (percentage),8.6
145,Western Asia,2022,Population density,61.3
150,Europe,2010,Population mid-year estimates (millions),736.28
150,Europe,2010,Population mid-year estimates for males (millions),354.08
150,Europe,2010,Population mid-year estimates for females (millions),382.2
150,Europe,2010,Sex ratio (males per 100 females),92.6
150,Europe,2010,Population aged 0 to 14 years old (percentage),15.5
150,Europe,2010,Population aged 60+ years old (percentage),22
150,Europe,2010,Population density,33.3
150,Europe,2015,Population mid-year estimates (millions),742.11
150,Europe,2015,Population mid-year estimates for males (millions),357.6
150,Europe,2015,Population mid-year estimates for females (millions),384.51
150,Europe,2015,Sex ratio (males per 100 females),93
150,Europe,2015,Population aged 0 to 14 years old (percentage),15.8
150,Europe,2015,Population aged 60+ years old (percentage),23.8
150,Europe,2015,Population density,33.6
150,Europe,2021,Population mid-year estimates (millions),745.17
150,Europe,2021,Population mid-year estimates for males (millions),359.68
150,Europe,2021,Population mid-year estimates for females (millions),385.49
150,Europe,2021,Sex ratio (males per 100 females),93.3
150,Europe,2021,Population aged 0 to 14 years old (percentage),15.8
150,Europe,2021,Population aged 60+ years old (percentage),26
150,Europe,2021,Population density,33.7
150,Europe,2021,Surface area (thousand km2),"22,135"
150,Europe,2022,Population mid-year estimates (millions),743.56
150,Europe,2022,Population mid-year estimates for males (millions),358.91
150,Europe,2022,Population mid-year estimates for females (millions),384.65
150,Europe,2022,Sex ratio (males per 100 females),93.3
150,Europe,2022,Population aged 0 to 14 years old (percentage),15.7
150,Europe,2022,Population aged 60+ years old (percentage),26.3
150,Europe,2022,Population density,33.7
151,Eastern Europe,2010,Population mid-year estimates (millions),294.71
151,Eastern Europe,2010,Population mid-year estimates for males (millions),138.27
151,Eastern Europe,2010,Population mid-year estimates for females (millions),156.44
151,Eastern Europe,2010,Sex ratio (males per 100 females),88.4
151,Eastern Europe,2010,Population aged 0 to 14 years old (percentage),15
151,Eastern Europe,2010,Population aged 60+ years old (percentage),19.4
151,Eastern Europe,2010,Population density,16.3
151,Eastern Europe,2015,Population mid-year estimates (millions),294.19
151,Eastern Europe,2015,Population mid-year estimates for males (millions),138.3
151,Eastern Europe,2015,Population mid-year estimates for females (millions),155.89
